Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AGE	Peptides FPS	Razor + unique peptides AGE	Razor + unique peptides FPS	Unique peptides AGE	Unique peptides FPS	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Identification type AGE	Identification type FPS	Reporter intensity corrected 1 AGE	Reporter intensity corrected 2 AGE	Reporter intensity corrected 3 AGE	Reporter intensity corrected 4 AGE	Reporter intensity corrected 5 AGE	Reporter intensity corrected 6 AGE	Reporter intensity corrected 7 AGE	Reporter intensity corrected 8 AGE	Reporter intensity corrected 9 AGE	Reporter intensity corrected 10 AGE	Reporter intensity corrected 11 AGE	Reporter intensity corrected 1 FPS	Reporter intensity corrected 2 FPS	Reporter intensity corrected 3 FPS	Reporter intensity corrected 4 FPS	Reporter intensity corrected 5 FPS	Reporter intensity corrected 6 FPS	Reporter intensity corrected 7 FPS	Reporter intensity corrected 8 FPS	Reporter intensity corrected 9 FPS	Reporter intensity corrected 10 FPS	Reporter intensity corrected 11 FPS	Reporter intensity 1 AGE	Reporter intensity 2 AGE	Reporter intensity 3 AGE	Reporter intensity 4 AGE	Reporter intensity 5 AGE	Reporter intensity 6 AGE	Reporter intensity 7 AGE	Reporter intensity 8 AGE	Reporter intensity 9 AGE	Reporter intensity 10 AGE	Reporter intensity 11 AGE	Reporter intensity 1 FPS	Reporter intensity 2 FPS	Reporter intensity 3 FPS	Reporter intensity 4 FPS	Reporter intensity 5 FPS	Reporter intensity 6 FPS	Reporter intensity 7 FPS	Reporter intensity 8 FPS	Reporter intensity 9 FPS	Reporter intensity 10 FPS	Reporter intensity 11 FPS	Reporter intensity count 1 AGE	Reporter intensity count 2 AGE	Reporter intensity count 3 AGE	Reporter intensity count 4 AGE	Reporter intensity count 5 AGE	Reporter intensity count 6 AGE	Reporter intensity count 7 AGE	Reporter intensity count 8 AGE	Reporter intensity count 9 AGE	Reporter intensity count 10 AGE	Reporter intensity count 11 AGE	Reporter intensity count 1 FPS	Reporter intensity count 2 FPS	Reporter intensity count 3 FPS	Reporter intensity count 4 FPS	Reporter intensity count 5 FPS	Reporter intensity count 6 FPS	Reporter intensity count 7 FPS	Reporter intensity count 8 FPS	Reporter intensity count 9 FPS	Reporter intensity count 10 FPS	Reporter intensity count 11 FPS	Sequence coverage AGE [%]	Sequence coverage FPS [%]	Intensity	Intensity AGE	Intensity FPS	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
A1L108;A1L108-2	A1L108;A1L108-2	4;2	4;2	4;2	Actin-related protein 2/3 complex subunit 5-like protein	Arpc5l	sp|A1L108|ARP5L_RAT Actin-related protein 2/3 complex subunit 5-like protein OS=Rattus norvegicus OX=10116 GN=Arpc5l PE=1 SV=2;sp|A1L108-2|ARP5L_RAT Isoform 2 of Actin-related protein 2/3 complex subunit 5-like protein OS=Rattus norvegicus OX=10116 GN=Arpc	2	4	4	4	3	4	3	4	3	4	43.1	43.1	43.1	17.01	153	153;101	2.24	6	8	5	1		1			0	73.606	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3	43.1	6782400000	2387700000	4394700000	19				10	3476;9308;10361;11311	True;True;True;True	3585;9652;10727;11708	18455;18456;18457;18458;18459;49164;53715;53716;53717;53718;58555;58556;58557;58558;58559;58560;58561;58562;58563;58564;58565	19626;19627;19628;19629;19630;19631;51520;56272;56273;56274;61306;61307;61308;61309;61310;61311;61312;61313;61314	19629;51520;56274;61309			-1;-1
A1L134	A1L134	1	1	1	Ancient ubiquitous protein 1	Aup1	sp|A1L134|AUP1_RAT Lipid droplet-regulating VLDL assembly factor AUP1 OS=Rattus norvegicus OX=10116 GN=Aup1 PE=2 SV=1	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	46.199	410	410	4.5				2	2				0.00047687	1.9272	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	4.4	1053200000	671440000	381720000	3				11	3349	True	3456	17683;17684;17685;17686	18776;18777;18778	18778			-1
A1L1I3;Q2LC84;Q2LC84-2	A1L1I3;Q2LC84;Q2LC84-2	2;1;1	2;1;1	2;1;1	Numb-like protein;Protein numb homolog	Numbl;Numb	sp|A1L1I3|NUMBL_RAT Numb-like protein OS=Rattus norvegicus OX=10116 GN=Numbl PE=1 SV=1;sp|Q2LC84|NUMB_RAT Protein numb homolog OS=Rattus norvegicus OX=10116 GN=Numb PE=1 SV=2;sp|Q2LC84-2|NUMB_RAT Isoform 2 of Protein numb homolog OS=Rattus norvegicus OX=10	3	2	2	2	2	1	2	1	2	1	4.1	4.1	4.1	65.512	614	614;652;641	4.5		1			2	1			0.0004686	1.6643	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	1.6	417490000	182380000	235110000	2				12	7741;14125	True;True	7973;14606	40931;74313;74314;74315	43037;78145	43037;78145			-1;-1;-1
A1L1J9	A1L1J9	2	2	2	Lipase maturation factor 2	Lmf2	sp|A1L1J9|LMF2_RAT Lipase maturation factor 2 OS=Rattus norvegicus OX=10116 GN=Lmf2 PE=2 SV=1	1	2	2	2	2	1	2	1	2	1	4.8	4.8	4.8	80.253	702	702	4		2	1			1	1		0	11.512	By MS/MS	By matching	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	3	589440000	401120000	188330000	2				13	5919;12618	True;True	6107;13050	31703;31704;31705;65559;65560	33513;68697	33513;68697			-1
A1L1K3	A1L1K3	2	2	2	Anaphase-promoting complex subunit 5	Anapc5	sp|A1L1K3|APC5_RAT Anaphase-promoting complex subunit 5 OS=Rattus norvegicus OX=10116 GN=Anapc5 PE=2 SV=1	1	2	2	2	1	2	1	2	1	2	3.7	3.7	3.7	81.738	727	727	5.67			1				2		0	5.2104	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	4239900	4804400	65789	3714300	30632	2260500	2435500	2679800	2558700	3526900	2508000	0	0	0	0	0	0	0	0	0	0	0	3948300	4478900	353880	3844500	93816	2402000	2348500	2728800	2595900	3409700	2420900	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2.2	3.7	413070000	146700000	266370000	3				14	3124;11983	True;True	3219;12399	16455;16456;62158	17485;17486;65117	17485;65117			-1
A1L1L2	A1L1L2	4	4	4	Transmembrane protein 214	Tmem214	sp|A1L1L2|TM214_RAT Transmembrane protein 214 OS=Rattus norvegicus OX=10116 GN=Tmem214 PE=2 SV=1	1	4	4	4	4	3	4	3	4	3	8.9	8.9	8.9	76.565	685	685	5.25			1	2	4	4		1	0	45.126	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	2163100	2397000	26929	2103000	10352	1261300	1538300	1720000	1566800	1864300	1478200	0	0	0	0	0	0	0	0	0	0	0	2014200	2235500	174280	2153500	49970	1347200	1481400	1729900	1589600	1814800	1428700	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	8.9	6.3	2299200000	1406700000	892500000	12				15	1365;7357;12390;14280	True;True;True;True	1416;7580;12818;14763	7377;39105;39106;39107;39108;39109;64468;64469;75073;75074;75075;75076	7804;41164;41165;41166;41167;41168;41169;67561;78923;78924;78925;78926	7804;41165;67561;78923			-1
A2RRU1;P17625	A2RRU1	14;1	14;1	14;1	Glycogen [starch] synthase, muscle	Gys1	sp|A2RRU1|GYS1_RAT Glycogen [starch] synthase, muscle OS=Rattus norvegicus OX=10116 GN=Gys1 PE=1 SV=1	2	14	14	14	12	11	12	11	12	11	29	29	29	84.071	738	738;704	4.77	3	4	10	6	4	5	11	4	0	127.57	By MS/MS	By MS/MS	32377000	34187000	173240	44992	29797000	31967000	37046000	32761000	37922000	43387000	35581000	8507100	6107100	0	6400500	126350	15752000	8216700	13521000	10112000	11303000	9213600	30147000	31772000	2745100	2698400	28759000	30599000	37225000	33587000	38458000	41936000	34396000	7920700	5699600	558330	6648700	309200	15420000	7969400	13794000	10172000	11130000	8915800	6	6	3	1	6	6	6	6	6	6	6	3	3	0	3	2	3	3	3	3	3	3	23.7	22.9	12475000000	6805300000	5669600000	45				16	11;434;2217;3565;6396;7717;8050;9672;10926;12345;12495;13246;13837;14490	True;True;True;True;True;True;True;True;True;True;True;True;True;True	11;446;2287;3677;6596;7949;8294;10023;11316;12773;12927;13695;14310;14977	31;2373;2374;11753;18985;18986;18987;18988;34186;34187;34188;40852;40853;40854;42489;50765;56632;56633;56634;56635;64207;64208;64209;64210;65021;65022;65023;65024;69512;69513;69514;69515;69516;72736;72737;72738;72739;72740;72741;72742;76179;76180;76181;76182;76183;76184;76185	32;2598;2599;2600;2601;2602;12543;20198;20199;20200;20201;36128;36129;42974;42975;44645;53185;59274;59275;59276;59277;67275;67276;67277;67278;68143;68144;72992;72993;72994;72995;72996;76458;76459;76460;76461;76462;76463;76464;76465;80080;80081;80082;80083;80084	32;2601;12543;20199;36129;42974;44645;53185;59274;67276;68143;72995;76462;80083			-1;-1
A2RUW1	A2RUW1	3	3	3	Toll-interacting protein	Tollip	sp|A2RUW1|TOLIP_RAT Toll-interacting protein OS=Rattus norvegicus OX=10116 GN=Tollip PE=1 SV=1	1	3	3	3	2	2	2	2	2	2	21.2	21.2	21.2	30.314	274	274	4	1	1	1				2		0	20.941	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9	16.4	1373200000	787940000	585220000	5				17	4463;5361;6080	True;True;True	4597;5527;6275	23577;23578;28489;28490;32638	25001;25002;30160;34471;34472	25001;30160;34471			-1
A2VCX1	A2VCX1	3	3	3	TIP41-like protein	Tiprl	sp|A2VCX1|TIPRL_RAT TIP41-like protein OS=Rattus norvegicus OX=10116 GN=Tiprl PE=1 SV=1	1	3	3	3	3	3	3	3	3	3	13.7	13.7	13.7	31.224	271	271	2.25	2	3	2	1					0	9.2339	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7	13.7	2034900000	1270400000	764520000	7				18	5422;12849;13976	True;True;True	5590;13290;14452	28873;28874;67015;67016;73460;73461;73462;73463	30578;30579;70349;70350;77225;77226;77227	30579;70350;77227			-1
A2VD12	A2VD12	4	4	4	Pre-B-cell leukemia transcription factor-interacting protein 1	Pbxip1	sp|A2VD12|PBIP1_RAT Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Pbxip1 PE=1 SV=1	1	4	4	4	4	4	4	4	4	4	8.3	8.3	8.3	80.275	722	722	4.33	4	1		2			2	3	0	10.496	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3	8.3	2412200000	870470000	1541700000	10				19	4668;8551;12552;13014	True;True;True;True	4809;8869;12984;13458	24582;24583;24584;45168;45169;45170;45171;65235;65236;68134;68135;68136	26037;47387;47388;47389;47390;68361;68362;71559;71560;71561	26037;47390;68362;71560			-1
A4L691	A4L691	1	1	1	PIN2/TERF1-interacting telomerase inhibitor 1	Pinx1	sp|A4L691|PINX1_RAT PIN2/TERF1-interacting telomerase inhibitor 1 OS=Rattus norvegicus OX=10116 GN=Pinx1 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	2.4	2.4	2.4	36.71	331	331	2.33		2	1						1	-2	By MS/MS	By MS/MS	4264500	8578200	35332	30223	9036900	5268700	6666100	7809300	5320700	5734300	6985700	19637000	24976000	133810	24101000	256410	9668600	14206000	12667000	12364000	24268000	18320000	3970900	7972500	453330	712930	8607600	5101400	6844000	7749600	5530900	5685900	6687300	18285000	23302000	1481300	24433000	604640	10807000	13623000	13075000	12870000	23223000	17488000	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2.4	2.4	4063600000	936920000	3126700000	1	+			20	8249	True	8551	43603;43604;43605	45787	45787	0;1	1;3	-1
A4L9P7	A4L9P7	4	4	4	Sister chromatid cohesion protein PDS5 homolog A	Pds5a	sp|A4L9P7|PDS5A_RAT Sister chromatid cohesion protein PDS5 homolog A OS=Rattus norvegicus OX=10116 GN=Pds5a PE=1 SV=1	1	4	4	4	4	3	4	3	4	3	5.1	5.1	5.1	150.28	1333	1333	4.71	2		1			2		2	0	113.77	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	4.2	1432300000	776940000	655340000	7				21	4856;5339;10109;11282	True;True;True;True	5001;5504;10468;11679	25646;28394;28395;52753;52754;58423;58424	27125;30059;30060;55275;61167;61168;61169	27125;30060;55275;61169			-1
A7VJC2;A7VJC2-4;A7VJC2-2;A7VJC2-3	A7VJC2;A7VJC2-4;A7VJC2-2;A7VJC2-3	16;15;15;14	16;15;15;14	15;14;14;13	Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	sp|A7VJC2|ROA2_RAT Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus OX=10116 GN=Hnrnpa2b1 PE=1 SV=1;sp|A7VJC2-4|ROA2_RAT Isoform B1b of Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus OX=10116 GN=Hnrnpa2b1;sp|A7VJC2-2	4	16	16	15	16	16	16	16	15	15	54.1	54.1	51.6	37.477	353	353;313;341;301	4.79	15	7	11	25	26	26	21	10	0	323.31	By MS/MS	By MS/MS	221240000	158650000	1685400	571830	135440000	161680000	189330000	236830000	289530000	256440000	235300000	165530000	154240000	1474400	152070000	1133400	240670000	166810000	302330000	261840000	319200000	244470000	206010000	147450000	18441000	13629000	131310000	154710000	189860000	237590000	288240000	249640000	228660000	154130000	143920000	11972000	156610000	4695700	238910000	160880000	304790000	261600000	311050000	236360000	21	21	15	7	21	21	21	28	28	28	28	19	19	11	19	13	19	19	26	26	26	26	54.1	54.1	216180000000	118320000000	97865000000	163				22	2222;2312;3895;3902;3966;3991;5437;6979;7005;7799;7800;8739;9094;10047;12192;14436	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2292;2386;4018;4025;4090;4115;5606;7191;7217;8032;8033;8034;9063;9064;9432;10403;12615;14923	11785;11786;12233;12234;20672;20673;20674;20726;20727;20728;20729;20730;20731;20732;20733;20734;20735;20736;20737;20738;20739;21062;21063;21064;21065;21066;21067;21068;21069;21070;21071;21072;21073;21074;21183;21184;21185;21186;21187;21188;21189;29015;29016;29017;29018;29019;29020;29021;29022;29023;29024;29025;37231;37232;37233;37234;37235;37236;37237;37238;37239;37240;37241;37242;37243;37244;37245;37246;37353;37354;37355;37356;37357;37358;37359;41224;41225;41226;41227;41228;41229;41230;41231;41232;46308;46309;46310;46311;46312;46313;46314;46315;48214;48215;48216;48217;48218;48219;48220;48221;48222;48223;48224;48225;52442;52443;52444;52445;52446;52447;52448;52449;52450;52451;63456;63457;63458;63459;75789;75790;75791;75792;75793;75794;75795;75796;75797;75798;75799;75800;75801;75802;75803;75804;75805;75806;75807;75808;75809;75810;75811	12572;12573;13040;21987;21988;21989;21990;22049;22050;22051;22052;22053;22054;22055;22056;22057;22058;22059;22060;22061;22062;22063;22064;22065;22066;22067;22068;22069;22401;22402;22403;22404;22405;22406;22407;22408;22409;22410;22411;22412;22413;22414;22415;22416;22417;22418;22526;22527;22528;22529;22530;22531;22532;30731;30732;30733;30734;30735;30736;30737;30738;30739;30740;30741;30742;30743;39244;39245;39246;39247;39248;39249;39250;39251;39252;39253;39254;39255;39256;39257;39363;39364;39365;39366;39367;39368;39369;39370;43319;43320;43321;43322;43323;43324;43325;43326;43327;43328;43329;43330;48557;48558;48559;48560;48561;48562;48563;48564;48565;50502;50503;50504;50505;50506;50507;50508;50509;50510;50511;50512;50513;50514;54942;54943;54944;54945;54946;54947;54948;54949;54950;54951;54952;54953;54954;54955;54956;54957;54958;54959;66535;66536;66537;66538;79689;79690;79691;79692;79693;79694;79695;79696;79697;79698;79699;79700;79701;79702;79703;79704;79705;79706;79707	12572;13040;21987;22054;22416;22528;30741;39255;39363;43320;43325;48561;50503;54958;66537;79706	2;3	53;327	-1;-1;-1;-1
A8WCF8	A8WCF8	2	2	2	Tumor protein p63-regulated gene 1-like protein	Tprg1l	sp|A8WCF8|TPRGL_RAT Tumor protein p63-regulated gene 1-like protein OS=Rattus norvegicus OX=10116 GN=Tprg1l PE=1 SV=1	1	2	2	2	2	0	2	0	2	0	13.9	13.9	13.9	29.844	266	266	5		1						1	0	20.684	By MS/MS		1197000	1297000	10641	10858	1205800	1182800	1279700	1267600	1319100	1272600	1287200	0	0	0	0	0	0	0	0	0	0	0	1114600	1205400	109280	119440	1158700	1134600	1295400	1284700	1339100	1242700	1242700	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	13.9	0	137430000	137430000	0	2				23	2006;14271	True;True	2072;14754	10705;75005	11375;78846	11375;78846			-1
P0C170;P02262;A9UMV8;Q4FZT6;Q00728;Q64598;P0CC09;P0C169	P0C170;P02262;A9UMV8;Q4FZT6;Q00728;Q64598;P0CC09;P0C169	3;3;3;3;3;3;3;3	3;3;3;3;3;3;3;3	2;2;2;2;2;2;2;2	Histone H2A type 1-E;Histone H2A type 1;Histone H2A.J;Histone H2A type 3;Histone H2A type 4;Histone H2A type 1-F;Histone H2A type 2-A;Histone H2A type 1-C	H2afj;Hist2h2aa3	sp|P0C170|H2A1E_RAT Histone H2A type 1-E OS=Rattus norvegicus OX=10116 PE=1 SV=2;sp|P02262|H2A1_RAT Histone H2A type 1 OS=Rattus norvegicus OX=10116 PE=1 SV=2;sp|A9UMV8|H2AJ_RAT Histone H2A.J OS=Rattus norvegicus OX=10116 GN=H2aj PE=2 SV=1;sp|Q4FZT6|H2A3_R	8	3	3	2	3	3	3	3	2	2	25.4	25.4	20	14.119	130	130;130;129;130;130;130;130;130	5.22	6	4	6	10	37	50	9	6	0	80.686	By MS/MS	By MS/MS	244040000	233000000	1216100	609460	218410000	220040000	273980000	277010000	258130000	253460000	263940000	159350000	156220000	721010	136220000	639030	147540000	159360000	176930000	160740000	170060000	133840000	227230000	216540000	20697000	18367000	210870000	211780000	274510000	278070000	263510000	248510000	254440000	148370000	145700000	11433000	140550000	3089500	150260000	153390000	178200000	162510000	166380000	129940000	19	19	14	9	19	19	19	19	19	19	19	19	19	13	19	12	19	19	19	19	19	19	25.4	25.4	552500000000	307860000000	244640000000	154				24	5087;8363;13848	True;True;True	5242;8680;14321	27003;27004;27005;27006;27007;27008;27009;27010;27011;27012;27013;27014;27015;27016;27017;27018;27019;27020;27021;27022;27023;27024;27025;27026;27027;27028;27029;27030;27031;27032;27033;27034;44214;44215;72775;72776;72777;72778;72779;72780;72781;72782;72783;72784;72785;72786;72787;72788;72789;72790;72791;72792;72793;72794;72795;72796;72797;72798;72799;72800;72801;72802;72803;72804;72805;72806;72807;72808;72809;72810;72811;72812;72813;72814;72815;72816;72817;72818;72819;72820;72821;72822;72823;72824;72825;72826;72827;72828;72829;72830;72831;72832;72833;72834;72835;72836;72837;72838;72839;72840;72841;72842;72843;72844;72845;72846;72847;72848;72849;72850;72851;72852;72853;72854;72855;72856;72857;72858;72859;72860;72861;72862;72863;72864;72865;72866;72867;72868	28570;28571;28572;28573;28574;28575;28576;28577;28578;28579;28580;28581;28582;28583;28584;28585;28586;28587;28588;28589;28590;28591;28592;28593;28594;28595;28596;28597;28598;28599;28600;28601;28602;28603;46408;76497;76498;76499;76500;76501;76502;76503;76504;76505;76506;76507;76508;76509;76510;76511;76512;76513;76514;76515;76516;76517;76518;76519;76520;76521;76522;76523;76524;76525;76526;76527;76528;76529;76530;76531;76532;76533;76534;76535;76536;76537;76538;76539;76540;76541;76542;76543;76544;76545;76546;76547;76548;76549;76550;76551;76552;76553;76554;76555;76556;76557;76558;76559;76560;76561;76562;76563;76564;76565;76566;76567;76568;76569;76570;76571;76572;76573;76574;76575;76576;76577;76578;76579;76580;76581;76582;76583;76584;76585;76586;76587;76588;76589;76590;76591;76592;76593;76594;76595;76596;76597;76598;76599;76600;76601;76602;76603;76604;76605;76606;76607;76608;76609;76610;76611;76612;76613;76614;76615	28573;46408;76575			-1;-1;-1;-1;-1;-1;-1;-1
B0BN18	B0BN18	2	2	2	Prefoldin subunit 2	Pfdn2	sp|B0BN18|PFD2_RAT Prefoldin subunit 2 OS=Rattus norvegicus OX=10116 GN=Pfdn2 PE=2 SV=1	1	2	2	2	2	2	2	2	2	2	16.9	16.9	16.9	16.58	154	154	4	8	4	4				4	6	0	59.264	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9	16.9	10111000000	5311900000	4799400000	30				25	3653;5694	True;True	3768;5866	19377;19378;19379;19380;19381;19382;19383;19384;19385;19386;19387;19388;30418;30419;30420;30421;30422;30423;30424;30425;30426;30427;30428;30429;30430;30431	20629;20630;20631;20632;20633;20634;20635;20636;20637;20638;20639;20640;20641;20642;20643;20644;32179;32180;32181;32182;32183;32184;32185;32186;32187;32188;32189;32190;32191;32192	20643;32183			-1
B0BN49	B0BN49	1	1	1	RNA-binding motif protein, X-linked 2	Rbmx2	sp|B0BN49|RBMX2_RAT RNA-binding motif protein, X-linked 2 OS=Rattus norvegicus OX=10116 GN=Rbmx2 PE=2 SV=1	1	1	1	1	1	1	1	1	1	1	4.3	4.3	4.3	37.829	328	328	5					2				0	2.577	By MS/MS	By matching	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3	4.3	408650000	267870000	140780000	1				26	11883	True	12297	61483;61484	64368	64368			-1
B0BN56	B0BN56	5	5	5	28S ribosomal protein S31, mitochondrial	Mrps31	sp|B0BN56|RT31_RAT 28S ribosomal protein S31, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mrps31 PE=2 SV=1	1	5	5	5	3	5	3	5	3	5	14.5	14.5	14.5	43.961	387	387	4.5	1	2	1	2	2	1	2	1	0	13.923	By MS/MS	By MS/MS	4861300	4184100	35767	0	3502500	4370600	4640200	4299500	4096800	4261500	4201200	7305500	6299000	116030	8686700	14234	14453000	10968000	11824000	11777000	12265000	9471900	4526600	3888600	417330	351830	3389100	4180700	4630500	4373900	4195300	4163600	4049500	6803000	5876800	611700	8779400	252400	14309000	10577000	12168000	11864000	11961000	9208600	1	1	1	0	1	1	1	1	1	1	1	2	2	2	3	2	3	3	3	3	3	3	10.6	14.5	1390000000	810480000	579530000	7				27	411;5043;8669;9703;13089	True;True;True;True;True	422;5198;8989;10056;13535	2268;2269;2270;2271;2272;26772;45810;45811;45812;50871;50872;68527	2492;2493;2494;28348;48033;53289;71969	2494;28348;48033;53289;71969			-1
B0BN72	B0BN72	1	1	1	Protein FAM195B	Fam195b	sp|B0BN72|MCRI1_RAT Mapk-regulated corepressor-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Mcrip1 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	18.6	18.6	18.6	11.101	97	97	3			2						0	21.043	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.6	18.6	1140000000	667370000	472680000	4				28	11218	True	11615	58096;58097	60833;60834;60835;60836	60833			-1
B0BN85	B0BN85	13	13	13	Suppressor of G2 allele of SKP1 homolog	Sugt1	sp|B0BN85|SGT1_RAT Protein SGT1 homolog OS=Rattus norvegicus OX=10116 GN=Sugt1 PE=2 SV=1	1	13	13	13	13	12	13	12	13	12	49.4	49.4	49.4	38.09	336	336	4.06	2	12	10	10	4		5	6	0	323.31	By MS/MS	By MS/MS	411280	9213100	785210	968140	20131000	20339000	23902000	22843000	24894000	29289000	27014000	1232900	18192000	1572500	17729000	1337.5	16407000	16387000	16786000	18668000	27358000	20170000	382960	8561700	889580	1681200	19445000	19569000	24078000	23154000	25176000	28339000	25994000	1148200	16973000	1550300	18099000	483750	16804000	15835000	17250000	18841000	26283000	19411000	1	2	2	1	3	3	3	3	3	4	4	1	3	3	3	1	3	3	3	3	4	4	49.4	47	13508000000	6712200000	6796100000	46				29	3;676;4082;5924;6713;6865;6996;7328;7924;9917;10690;10951;14248	True;True;True;True;True;True;True;True;True;True;True;True;True	3;700;4208;6113;6922;7076;7208;7551;8163;10270;11070;11341;14731	8;9;3717;3718;3719;3720;3721;3722;21582;31727;31728;35875;35876;35877;35878;36670;36671;36672;37321;37322;37323;37324;38962;38963;38964;38965;41829;41830;41831;41832;51839;51840;51841;51842;55417;55418;55419;55420;56762;56763;56764;56765;56766;56767;56768;74905;74906;74907;74908	7;8;4027;4028;4029;4030;4031;4032;22960;33540;33541;37967;37968;38713;38714;38715;39331;41025;41026;41027;41028;41029;43944;43945;43946;54293;54294;54295;54296;54297;58012;58013;58014;58015;58016;59423;59424;59425;59426;59427;59428;59429;59430;78753;78754;78755	8;4031;22960;33540;37968;38715;39331;41028;43946;54297;58015;59426;78753			-1
